category,job_title,num_skills,description_length,posting_count
Business Development,Business Development Representative,19,2851,33
Business Development,Business Development Representative,18,2896,33
Business Development,Business Development Representative,14,2941,33
Business Development,Business Development Representative,24,2034,33
Business Development,Business Development Representative,8,2077,33
Business Development,Business Development Representative,14,1592,33
Business Development,Business Development Representative,11,946,33
Business Development,Business Development Representative,16,2650,33
Business Development,Business Development Representative (BDR) - Lead Finder,14,3556,1
Business Development,Business Development Representative - First Aid & Safety,14,4034,1
Business Development,Business Development Representative - PCA Skin & EltaMD - Hudson Valley,19,8178,1
Business Development,"Business Development Representative / Phila., PA Area",20,4913,1
Business Development,"Business Development Representative, Legal",17,2346,1
Business Development,Business Development Senior Associate- Remote/South Africa,12,2164,1
Business Development,Business Development Specialist,13,1937,7
Business Development,Business Development Specialist,14,2604,7
Business Development,Business Development Specialist,14,3434,7
Business Development,Business Development Specialist,14,942,7
Business Development,Business Development Specialist,20,2881,7
Business Development,Business Development Specialist,15,4453,7
Business Development,Business Development Specialist,7,429,7
Business Development,Business Development Specialist (Intellectual Property),19,2943,1
Business Development,Business Development Specialist (PR-1258349:MAS),12,1789,1
Business Development,Business Development Staffing Executive,15,3281,1
Business Development,Business Development Vice President - Healthcare / Pharma Vertical (Remote),18,6996,1
Business Development,Business Development and Teaming Coach,20,5472,1
Business Development,Cardiology Business Development Representative,18,7538,1
Business Development,Community Outreach Business Development Manager,18,6577,1
Business Development,Coordinator - Business Development (NY),19,4379,1
Business Development,"Director Business Development Pharma - Plainsboro, NJ",13,5007,1
Business Development,Director Of Business Development,22,2180,1
Business Development,Director of Business Development,19,1757,6
Business Development,Director of Business Development,11,1019,6
Business Development,Director of Business Development,15,4615,6
Business Development,Director of Business Development,15,3949,6
Business Development,Director of Business Development,19,2106,6
Business Development,Director of Business Development,12,1809,6
Business Development,Director of Business Development - Alliance Partnerships,20,5198,1
Business Development,"Director, Business Development",20,7726,1
Business Development,"Director, Business Development, Enterprise",20,6741,1
Business Development,"Director, Business Development, Global Commercial Oncology",25,7718,1
Business Development,"Director, NFL Partnership and Business Development",14,7200,1
Business Development,Engineering Business Development Specialist Intern,13,2631,1
Business Development,Enterprise Business Development Representative,13,2337,1
Business Development,Enterprise Business Development Representative - US,15,3492,1
Business Development,Entry-Level Business Development Representative {$72K OTE},13,1923,1
Business Development,Exciting Opportunity Alert! Business Development Manager,12,2588,1
Business Development,Food & Beverage Business Development Manager,17,7110,1
Business Development,Global Business Development Partner - 100% Remote,16,2652,1
Business Development,Head of Business Development & Investor Relations,21,4100,1
Business Development,IT Business Development Representative (MSP),19,2089,1
Business Development,Inside Business Development Manager,10,949,1
Business Development,Inside Business Development Specialist,16,2191,1
Business Development,Intern - Business Development,16,3732,1
Business Development,"Manager - Business Development - Sales (Located Virtual in CA - Sacramento, North Bay & Vacaville)",20,5958,1
Business Development,"Manager, Business Development and Accounts (PR Agency)",22,5046,1
Business Development,"Manager, Europe - Impact Investing (Business Development + Client Services)",16,7841,1
Business Development,"Manager, Partner Strategy and Business Development",20,5743,1
Business Development,"Manager/Senior Manager, Strategic Partnerships & Business Development",23,8394,1
Business Development,Marketing & Business Development Intern,15,1924,1
Business Development,National Enterprise Business Development Director,19,4544,1
Business Development,New Business Development Manager,15,3161,1
Business Development,New Business Development Representative,20,2591,2
Business Development,New Business Development Representative,20,4176,2
Business Development,"New Role! - $5M in Seed Funding! - Business Development Manager – 3PL Logistics/Warehousing Startup - $100k -$120k Base, Double OTE- Work From Home",20,4467,1
Business Development,"Partner Business Development Manager, Samsung Mobility",17,3176,1
Business Development,"Principal Business Development Specialist, Portal North Bridge",18,5147,1
Business Development,Private Client Business Development Advisor,22,3165,1
Business Development,Remote Business Development Representative,10,1640,1
Business Development,Remote Business Development Specialist,13,1780,1
Business Development,Retirement Plan Services Internal Business Development Consultant,18,6027,1
Business Development,SVP Sales & Business Development,20,9011,1
Business Development,"SVP, Business Development",20,5810,1
Business Development,Sale & Business Development Manager,18,2803,1
Business Development,Sales & Business Development Specialist-Specialty Craft Channel,14,3336,1
Business Development,"Sales Representative Business Development, Business Broker",13,1549,1
Business Development,Sales Representative/Business Development Representative - B2B (Entry Level),12,2767,1
Business Development,Sales and Business Development Leader,22,4026,1
Business Development,Senior Business Development Associate,20,6342,1
Business Development,Senior Business Development Manager - Lithium-Ion Batteries,10,1177,1
Business Development,Senior Business Development Manager – Contracted Solutions Strategy,19,5541,1
Business Development,"Senior Business Development Manager, Manufacturing Segment",19,2937,1
Business Development,Senior Director Business Development,22,3979,1
